RIGHT_FOOT_DISPLACEMENT, LEFT_FOOT_DISPLACEMENT, R_HIP_PITCH_PRESENT_VELOCITY, R_HIP_PITCH_LOAD, L_HIP_PITCH_PRESENT_VELOCITY, L_HIP_PITCH_LOAD, R_KNEE_PRESENT_VELOCITY, R_KNEE_LOAD, L_KNEE_PRESENT_VELOCITY, L_KNEE_LOAD, R_ANKLE_PITCH_PRESENT_VELOCITY, R_ANKLE_PITCH_LOAD, L_ANKLE_PITCH_PRESENT_VELOCITY, L_ANKLE_PITCH_LOAD
-0.476702, -0.475734, 0, -0.0742913, -0, -0.0557185, 0, -0.13001, -0, -0.0928641, -0, -0.0742913, 0, -0.0557185
-0.476702, -0.475734, 0, -0.0742913, -0, -0.0557185, 0, -0.13001, -0, -0.0928641, -0, -0.0742913, 0, -0.0557185
-0.476671, -0.475651, 0, -0.0742913, -0, -0.0557185, 0, -0.148583, -0, -0.0928641, -0, -0.0742913, 0, -0.0557185
-0.476684, -0.475651, 0, -0.0742913, -0, -0.0557185, 0, -0.13001, -0, -0.0928641, -0, -0.0742913, 0, -0.0557185
-0.476702, -0.475723, 0, -0.0742913, -0, -0.0742913, 0, -0.13001, -0, -0.0928641, -0, -0.0742913, 0, -0.0557185
-0.476671, -0.475723, 0, -0.0742913, -0, -0.0742913, 0, -0.148583, -0, -0.0928641, -0, -0.0742913, 0, -0.0557185
-0.476702, -0.47575, 0, -0.0742913, -0, -0.0557185, 0, -0.13001, -0, -0.0928641, -0, -0.0742913, 0, -0.0557185
-0.476689, -0.475651, 0, -0.0742913, -0, -0.0557185, 0, -0.148583, -0, -0.0928641, -0, -0.0742913, 0, -0.0557185
-0.476702, -0.475651, 0, -0.0742913, -0, -0.0557185, 0, -0.13001, -0, -0.0928641, -0, -0.0742913, 0, -0.0557185
-0.476702, -0.475723, 0, -0.0742913, -0, -0.0742913, 0, -0.13001, -0, -0.0928641, -0, -0.0742913, 0, -0.0557185
-0.476698, -0.475723, 0, -0.0557185, -0, -0.0742913, 0, -0.13001, -0, -0.0928641, -0, -0.0742913, 0, -0.0557185
-0.476715, -0.475651, 0, -0.0557185, -0, -0.0557185, 0, -0.13001, -0, -0.0928641, -0, -0.0742913, 0, -0.0557185
-0.476702, -0.475734, 0, -0.0557185, -0, -0.0557185, 0, -0.148583, -0, -0.0928641, -0, -0.0742913, 0, -0.0557185
-0.476702, -0.475734, 0, -0.0742913, -0, -0.0557185, 0, -0.13001, -0, -0.0928641, -0, -0.0742913, 0, -0.0557185
-0.476702, -0.475639, 0, -0.0742913, -0, -0.0742913, 0, -0.13001, -0, -0.0928641, -0, -0.0742913, 0, -0.0557185
-0.476702, -0.475734, 0, -0.0742913, -0, -0.0557185, 0, -0.13001, -0, -0.0928641, -0, -0.0742913, 0, -0.0557185
-0.476689, -0.475639, 0, -0.0742913, -0, -0.0742913, 0, -0.148583, -0, -0.0928641, -0, -0.0742913, 0, -0.0557185
-0.476702, -0.475734, 0, -0.0742913, -0, -0.0557185, 0, -0.13001, -0, -0.0928641, -0, -0.0742913, 0, -0.0557185
-0.476702, -0.475723, 0, -0.0742913, -0, -0.0742913, 0, -0.13001, -0, -0.0928641, -0, -0.0742913, 0, -0.0557185
-0.476702, -0.475651, 0, -0.0742913, -0, -0.0557185, 0, -0.13001, -0, -0.0928641, -0, -0.0742913, 0, -0.0557185
-0.476671, -0.475734, 0, -0.0742913, -0, -0.0557185, 0, -0.148583, -0, -0.0928641, -0, -0.0742913, 0, -0.0557185
-0.476671, -0.475651, 0, -0.0742913, -0, -0.0557185, 0, -0.148583, -0, -0.0928641, -0, -0.0742913, 0, -0.0557185
-0.476702, -0.475723, 0, -0.0742913, -0, -0.0742913, 0, -0.13001, -0, -0.0928641, -0, -0.0742913, 0, -0.0557185
-0.476702, -0.475734, 0, -0.0742913, -0, -0.0557185, 0, -0.13001, -0, -0.0928641, -0, -0.0742913, 0, -0.0557185
-0.476702, -0.475734, 0, -0.0557185, -0, -0.0557185, 0, -0.148583, -0, -0.0928641, -0, -0.0742913, 0, -0.0557185
-0.476715, -0.475651, 0, -0.0557185, -0, -0.0557185, 0, -0.13001, -0, -0.0928641, -0, -0.0742913, 0, -0.0557185
-0.47683, -0.475734, 0, -0.0742913, -0, -0.0557185, 0, -0.13001, -0, -0.0928641, -0, -0.0742913, 0, -0.0557185
-0.476702, -0.475651, 0, -0.0742913, -0, -0.0557185, 0, -0.13001, -0, -0.0928641, -0, -0.0742913, 0, -0.0557185
-0.476702, -0.475723, 0, -0.0742913, -0, -0.0742913, 0, -0.13001, -0, -0.0928641, -0, -0.0742913, 0, -0.0557185
-0.476715, -0.475734, 0, -0.0557185, -0, -0.0557185, 0, -0.13001, -0, -0.0928641, -0, -0.0742913, 0, -0.0557185
-0.476702, -0.475651, 0, -0.0742913, -0, -0.0557185, 0, -0.13001, -0, -0.0928641, -0, -0.0742913, 0, -0.0557185
-0.476689, -0.475651, 0, -0.0742913, -0, -0.0557185, 0, -0.148583, -0, -0.0928641, -0, -0.0742913, 0, -0.0557185
-0.476689, -0.475734, 0, -0.0742913, -0, -0.0557185, 0, -0.148583, -0, -0.0928641, -0, -0.0742913, 0, -0.0557185
-0.476689, -0.475651, 0, -0.0742913, -0, -0.0557185, 0, -0.148583, -0, -0.0928641, -0, -0.0742913, 0, -0.0557185
-0.476689, -0.475734, 0, -0.0742913, -0, -0.0557185, 0, -0.148583, -0, -0.0928641, -0, -0.0742913, 0, -0.0557185
-0.476689, -0.475734, 0, -0.0742913, -0, -0.0557185, 0, -0.148583, -0, -0.0928641, -0, -0.0742913, 0, -0.0557185
-0.476715, -0.475734, 0, -0.0557185, -0, -0.0557185, 0, -0.13001, -0, -0.0928641, -0, -0.0742913, 0, -0.0557185
-0.476715, -0.475651, 0, -0.0557185, -0, -0.0557185, 0, -0.13001, -0, -0.0928641, -0, -0.0742913, 0, -0.0557185
-0.476702, -0.475651, 0, -0.0742913, -0, -0.0557185, 0, -0.13001, -0, -0.0928641, -0, -0.0742913, 0, -0.0557185
-0.476702, -0.475723, 0, -0.0742913, -0, -0.0742913, 0, -0.13001, -0, -0.0928641, -0, -0.0742913, 0, -0.0557185
-0.476684, -0.475723, 0, -0.0742913, -0, -0.0742913, 0, -0.13001, -0, -0.0928641, -0, -0.0742913, 0, -0.0557185
-0.476715, -0.475723, 0, -0.0557185, -0, -0.0742913, 0, -0.13001, -0, -0.0928641, -0, -0.0742913, 0, -0.0557185
-0.476715, -0.475734, 0, -0.0557185, -0, -0.0557185, 0, -0.13001, -0, -0.0928641, -0, -0.0742913, 0, -0.0557185
-0.476715, -0.475734, 0, -0.0557185, -0, -0.0557185, 0, -0.13001, -0, -0.0928641, -0, -0.0742913, 0, -0.0557185
-0.476702, -0.475651, 0, -0.0742913, -0, -0.0557185, 0, -0.13001, -0, -0.0928641, -0, -0.0742913, 0, -0.0557185
-0.476702, -0.475734, 0, -0.0557185, -0, -0.0557185, 0, -0.148583, -0, -0.0928641, -0, -0.0742913, 0, -0.0557185
-0.476684, -0.475734, 0, -0.0742913, -0, -0.0557185, 0, -0.13001, -0, -0.0928641, -0, -0.0742913, 0, -0.0557185
-0.476702, -0.475723, 0, -0.0742913, -0, -0.0742913, 0, -0.13001, -0, -0.0928641, -0, -0.0742913, 0, -0.0557185
-0.476702, -0.475651, 0, -0.0742913, -0, -0.0557185, 0, -0.13001, -0, -0.0928641, -0, -0.0742913, 0, -0.0557185
-0.476715, -0.475639, 0, -0.0557185, -0, -0.0742913, 0, -0.13001, -0, -0.0928641, -0, -0.0742913, 0, -0.0557185
-0.476702, -0.475639, 0, -0.0742913, -0, -0.0742913, 0, -0.13001, -0, -0.0928641, -0, -0.0742913, 0, -0.0557185
-0.476702, -0.475651, 0, -0.0557185, -0, -0.0557185, 0, -0.148583, -0, -0.0928641, -0, -0.0742913, 0, -0.0557185
-0.476671, -0.475734, 0, -0.0742913, -0, -0.0557185, 0, -0.148583, -0, -0.0928641, -0, -0.0742913, 0, -0.0557185
-0.476702, -0.475651, 0, -0.0742913, -0, -0.0557185, 0, -0.13001, -0, -0.0928641, -0, -0.0742913, 0, -0.0557185
-0.476715, -0.475723, 0, -0.0557185, -0, -0.0742913, 0, -0.13001, -0, -0.0928641, -0, -0.0742913, 0, -0.0557185
-0.476684, -0.475734, 0, -0.0742913, -0, -0.0557185, 0, -0.13001, -0, -0.0928641, -0, -0.0742913, 0, -0.0557185
-0.476702, -0.475734, 0, -0.0742913, -0, -0.0557185, 0, -0.13001, -0, -0.0928641, -0, -0.0742913, 0, -0.0557185
-0.476715, -0.475651, 0, -0.0557185, -0, -0.0557185, 0, -0.13001, -0, -0.0928641, -0, -0.0742913, 0, -0.0557185
-0.476843, -0.475734, 0, -0.0557185, -0, -0.0557185, 0, -0.13001, -0, -0.0928641, -0, -0.0742913, 0, -0.0557185
-0.476715, -0.475639, 0, -0.0557185, -0, -0.0742913, 0, -0.13001, -0, -0.0928641, -0, -0.0742913, 0, -0.0557185
-0.476702, -0.475651, 0, -0.0742913, -0, -0.0557185, 0, -0.13001, -0, -0.0928641, -0, -0.0742913, 0, -0.0557185
-0.476715, -0.475723, 0, -0.0557185, -0, -0.0742913, 0, -0.13001, -0, -0.0928641, -0, -0.0742913, 0, -0.0557185
-0.476702, -0.475734, 0, -0.0742913, -0, -0.0557185, 0, -0.13001, -0, -0.0928641, -0, -0.0742913, 0, -0.0557185
-0.476689, -0.475734, 0, -0.0742913, -0, -0.0557185, 0, -0.148583, -0, -0.0928641, -0, -0.0742913, 0, -0.0557185
-0.476715, -0.475651, 0, -0.0557185, -0, -0.0557185, 0, -0.13001, -0, -0.0928641, -0, -0.0742913, 0, -0.0557185
-0.476715, -0.475734, 0, -0.0557185, -0, -0.0557185, 0, -0.13001, -0, -0.0928641, -0, -0.0742913, 0, -0.0557185
-0.476715, -0.475734, 0, -0.0557185, -0, -0.0557185, 0, -0.13001, -0, -0.0928641, -0, -0.0742913, 0, -0.0557185
-0.476715, -0.475651, 0, -0.0557185, -0, -0.0557185, 0, -0.13001, -0, -0.0928641, -0, -0.0742913, 0, -0.0557185
-0.476702, -0.475734, 0, -0.0742913, -0, -0.0557185, 0, -0.13001, -0, -0.0928641, -0, -0.0742913, 0, -0.0557185
-0.476702, -0.475651, 0, -0.0557185, -0, -0.0557185, 0, -0.148583, -0, -0.0928641, -0, -0.0742913, 0, -0.0557185
-0.476702, -0.475734, 0, -0.0742913, -0, -0.0557185, 0, -0.13001, -0, -0.0928641, -0, -0.0742913, 0, -0.0557185
-0.476702, -0.475734, 0, -0.0557185, -0, -0.0557185, 0, -0.148583, -0, -0.0928641, -0, -0.0742913, 0, -0.0557185
-0.476689, -0.475734, 0, -0.0742913, -0, -0.0557185, 0, -0.148583, -0, -0.0928641, -0, -0.0742913, 0, -0.0557185
-0.476715, -0.475734, 0, -0.0557185, -0, -0.0557185, 0, -0.13001, -0, -0.0928641, -0, -0.0742913, 0, -0.0557185
-0.476684, -0.475651, 0, -0.0742913, -0, -0.0557185, 0, -0.13001, -0, -0.0928641, -0, -0.0742913, 0, -0.0557185
-0.476715, -0.475651, 0, -0.0557185, -0, -0.0557185, 0, -0.13001, -0, -0.0928641, -0, -0.0742913, 0, -0.0557185
-0.476715, -0.475734, 0, -0.0557185, -0, -0.0557185, 0, -0.13001, -0, -0.0928641, -0, -0.0742913, 0, -0.0557185
-0.476671, -0.475639, 0, -0.0742913, -0, -0.0742913, 0, -0.148583, -0, -0.0928641, -0, -0.0742913, 0, -0.0557185
-0.476715, -0.475734, 0, -0.0557185, -0, -0.0557185, 0, -0.13001, -0, -0.0928641, -0, -0.0742913, 0, -0.0557185
-0.476702, -0.475734, 0, -0.0557185, -0, -0.0557185, 0, -0.148583, -0, -0.0928641, -0, -0.0742913, 0, -0.0557185
-0.476698, -0.475723, 0, -0.0557185, -0, -0.0742913, 0, -0.13001, -0, -0.0928641, -0, -0.0742913, 0, -0.0557185
-0.476698, -0.475639, 0, -0.0557185, -0, -0.0742913, 0, -0.13001, -0, -0.0928641, -0, -0.0742913, 0, -0.0557185
-0.476715, -0.475734, 0, -0.0557185, -0, -0.0557185, 0, -0.13001, -0, -0.0928641, -0, -0.0742913, 0, -0.0557185
-0.476702, -0.475734, 0, -0.0557185, -0, -0.0557185, 0, -0.148583, -0, -0.0928641, -0, -0.0742913, 0, -0.0557185
-0.476689, -0.475723, 0, -0.0742913, -0, -0.0742913, 0, -0.148583, -0, -0.0928641, -0, -0.0742913, 0, -0.0557185
-0.476684, -0.475734, 0, -0.0742913, -0, -0.0557185, 0, -0.13001, -0, -0.0928641, -0, -0.0742913, 0, -0.0557185
-0.476702, -0.475734, 0, -0.0742913, -0, -0.0557185, 0, -0.13001, -0, -0.0928641, -0, -0.0742913, 0, -0.0557185
-0.476702, -0.475723, 0, -0.0742913, -0, -0.0742913, 0, -0.13001, -0, -0.0928641, -0, -0.0742913, 0, -0.0557185
-0.476671, -0.475734, 0, -0.0742913, -0, -0.0557185, 0, -0.148583, -0, -0.0928641, -0, -0.0742913, 0, -0.0557185
-0.476702, -0.475651, 0, -0.0742913, -0, -0.0557185, 0, -0.13001, -0, -0.0928641, -0, -0.0742913, 0, -0.0557185
-0.476715, -0.475651, 0, -0.0557185, -0, -0.0557185, 0, -0.13001, -0, -0.0928641, -0, -0.0742913, 0, -0.0557185
-0.476715, -0.475734, 0, -0.0557185, -0, -0.0557185, 0, -0.13001, -0, -0.0928641, -0, -0.0742913, 0, -0.0557185
-0.476684, -0.475734, 0, -0.0742913, -0, -0.0557185, 0, -0.13001, -0, -0.0928641, -0, -0.0742913, 0, -0.0557185
-0.476698, -0.475651, 0, -0.0557185, -0, -0.0557185, 0, -0.13001, -0, -0.0928641, -0, -0.0742913, 0, -0.0557185
-0.476715, -0.475734, 0, -0.0557185, -0, -0.0557185, 0, -0.13001, -0, -0.0928641, -0, -0.0742913, 0, -0.0557185
-0.476702, -0.475734, 0, -0.0742913, -0, -0.0557185, 0, -0.13001, -0, -0.0928641, -0, -0.0742913, 0, -0.0557185
-0.476689, -0.475734, 0, -0.0742913, -0, -0.0557185, 0, -0.148583, -0, -0.0928641, -0, -0.0742913, 0, -0.0557185
-0.476715, -0.475651, 0, -0.0557185, -0, -0.0557185, 0, -0.13001, -0, -0.0928641, -0, -0.0742913, 0, -0.0557185
-0.476689, -0.475639, 0, -0.0742913, -0, -0.0742913, 0, -0.148583, -0, -0.0928641, -0, -0.0742913, 0, -0.0557185
-0.476702, -0.475734, 0, -0.0742913, -0, -0.0557185, 0, -0.13001, -0, -0.0928641, -0, -0.0742913, 0, -0.0557185
-0.476684, -0.475651, 0, -0.0742913, -0, -0.0557185, 0, -0.13001, -0, -0.0928641, -0, -0.0742913, 0, -0.0557185
-0.476671, -0.475639, 0, -0.0742913, -0, -0.0742913, 0, -0.148583, -0, -0.0928641, -0, -0.0742913, 0, -0.0557185
-0.476715, -0.475734, 0, -0.0557185, -0, -0.0557185, 0, -0.13001, -0, -0.0928641, -0, -0.0742913, 0, -0.0557185
-0.476715, -0.475639, 0, -0.0557185, -0, -0.0742913, 0, -0.13001, -0, -0.0928641, -0, -0.0742913, 0, -0.0557185
-0.476702, -0.475734, 0, -0.0742913, -0, -0.0557185, 0, -0.13001, -0, -0.0928641, -0, -0.0742913, 0, -0.0557185
-0.476702, -0.475651, 0, -0.0557185, -0, -0.0557185, 0, -0.148583, -0, -0.0928641, -0, -0.0742913, 0, -0.0557185
-0.476715, -0.475651, 0, -0.0557185, -0, -0.0557185, 0, -0.13001, -0, -0.0928641, -0, -0.0742913, 0, -0.0557185
-0.476702, -0.475723, 0, -0.0557185, -0, -0.0742913, 0, -0.148583, -0, -0.0928641, -0, -0.0742913, 0, -0.0557185
-0.476702, -0.475734, 0, -0.0742913, -0, -0.0557185, 0, -0.13001, -0, -0.0928641, -0, -0.0742913, 0, -0.0557185
-0.476715, -0.475651, 0, -0.0557185, -0, -0.0557185, 0, -0.13001, -0, -0.0928641, -0, -0.0742913, 0, -0.0557185
-0.476702, -0.475734, 0, -0.0557185, -0, -0.0557185, 0, -0.148583, -0, -0.0928641, -0, -0.0742913, 0, -0.0557185
-0.476715, -0.475734, 0, -0.0557185, -0, -0.0557185, 0, -0.13001, -0, -0.0928641, -0, -0.0742913, 0, -0.0557185
-0.47683, -0.475734, 0, -0.0742913, -0, -0.0557185, 0, -0.13001, -0, -0.0928641, -0, -0.0742913, 0, -0.0557185
-0.476698, -0.475651, 0, -0.0557185, -0, -0.0557185, 0, -0.13001, -0, -0.0928641, -0, -0.0742913, 0, -0.0557185
-0.476685, -0.475734, 0, -0.0557185, -0, -0.0557185, 0, -0.148583, -0, -0.0928641, -0, -0.0742913, 0, -0.0557185
-0.476702, -0.475651, 0, -0.0557185, -0, -0.0557185, 0, -0.148583, -0, -0.0928641, -0, -0.0742913, 0, -0.0557185
-0.476689, -0.475734, 0, -0.0742913, -0, -0.0557185, 0, -0.148583, -0, -0.0928641, -0, -0.0742913, 0, -0.0557185
-0.476689, -0.475723, 0, -0.0742913, -0, -0.0742913, 0, -0.148583, -0, -0.0928641, -0, -0.0742913, 0, -0.0557185
-0.476702, -0.475723, 0, -0.0742913, -0, -0.0742913, 0, -0.13001, -0, -0.0928641, -0, -0.0742913, 0, -0.0557185
-0.476698, -0.475723, 0, -0.0557185, -0, -0.0742913, 0, -0.13001, -0, -0.0928641, -0, -0.0742913, 0, -0.0557185
-0.476702, -0.475734, 0, -0.0742913, -0, -0.0557185, 0, -0.13001, -0, -0.0928641, -0, -0.0742913, 0, -0.0557185
-0.476702, -0.475651, 0, -0.0742913, -0, -0.0557185, 0, -0.13001, -0, -0.0928641, -0, -0.0742913, 0, -0.0557185
-0.47683, -0.475734, 0, -0.0742913, -0, -0.0557185, 0, -0.13001, -0, -0.0928641, -0, -0.0742913, 0, -0.0557185
-0.476702, -0.475639, 0, -0.0742913, -0, -0.0742913, 0, -0.13001, -0, -0.0928641, -0, -0.0742913, 0, -0.0557185
-0.476702, -0.475734, 0, -0.0742913, -0, -0.0557185, 0, -0.13001, -0, -0.0928641, -0, -0.0742913, 0, -0.0557185
-0.476715, -0.475651, 0, -0.0557185, -0, -0.0557185, 0, -0.13001, -0, -0.0928641, -0, -0.0742913, 0, -0.0557185
-0.476689, -0.475734, 0, -0.0742913, -0, -0.0557185, 0, -0.148583, -0, -0.0928641, -0, -0.0742913, 0, -0.0557185
-0.476715, -0.475651, 0, -0.0557185, -0, -0.0557185, 0, -0.13001, -0, -0.0928641, -0, -0.0742913, 0, -0.0557185
-0.476715, -0.475723, 0, -0.0557185, -0, -0.0742913, 0, -0.13001, -0, -0.0928641, -0, -0.0742913, 0, -0.0557185
-0.476689, -0.475734, 0, -0.0742913, -0, -0.0557185, 0, -0.148583, -0, -0.0928641, -0, -0.0742913, 0, -0.0557185
-0.476715, -0.475651, 0, -0.0557185, -0, -0.0557185, 0, -0.13001, -0, -0.0928641, -0, -0.0742913, 0, -0.0557185
-0.476702, -0.475734, 0, -0.0557185, -0, -0.0557185, 0, -0.148583, -0, -0.0928641, -0, -0.0742913, 0, -0.0557185
-0.476715, -0.475734, 0, -0.0557185, -0, -0.0557185, 0, -0.13001, -0, -0.0928641, -0, -0.0742913, 0, -0.0557185
-0.476702, -0.475734, 0, -0.0742913, -0, -0.0557185, 0, -0.13001, -0, -0.0928641, -0, -0.0742913, 0, -0.0557185
-0.476684, -0.475639, 0, -0.0742913, -0, -0.0742913, 0, -0.13001, -0, -0.0928641, -0, -0.0742913, 0, -0.0557185
-0.476684, -0.475651, 0, -0.0742913, -0, -0.0557185, 0, -0.13001, -0, -0.0928641, -0, -0.0742913, 0, -0.0557185
-0.476689, -0.475651, 0, -0.0742913, -0, -0.0557185, 0, -0.148583, -0, -0.0928641, -0, -0.0742913, 0, -0.0557185
-0.476715, -0.475651, 0, -0.0557185, -0, -0.0557185, 0, -0.13001, -0, -0.0928641, -0, -0.0742913, 0, -0.0557185
-0.476702, -0.475734, 0, -0.0557185, -0, -0.0557185, 0, -0.148583, -0, -0.0928641, -0, -0.0742913, 0, -0.0557185
-0.476702, -0.475639, 0, -0.0742913, -0, -0.0742913, 0, -0.13001, -0, -0.0928641, -0, -0.0742913, 0, -0.0557185
-0.476715, -0.475651, 0, -0.0557185, -0, -0.0557185, 0, -0.13001, -0, -0.0928641, -0, -0.0742913, 0, -0.0557185
-0.476715, -0.475734, 0, -0.0557185, -0, -0.0557185, 0, -0.13001, -0, -0.0928641, -0, -0.0742913, 0, -0.0557185
-0.476715, -0.475734, 0, -0.0557185, -0, -0.0557185, 0, -0.13001, -0, -0.0928641, -0, -0.0742913, 0, -0.0557185
-0.476715, -0.475723, 0, -0.0557185, -0, -0.0742913, 0, -0.13001, -0, -0.0928641, -0, -0.0742913, 0, -0.0557185
-0.476715, -0.475651, 0, -0.0557185, -0, -0.0557185, 0, -0.13001, -0, -0.0928641, -0, -0.0742913, 0, -0.0557185
-0.476785, -0.475734, 0, -0.0742913, -0, -0.0557185, 0, -0.13001, -0, -0.0928641, -0, -0.0742913, 0, -0.0557185
-0.476702, -0.475723, 0, -0.0557185, -0, -0.0742913, 0, -0.148583, -0, -0.0928641, -0, -0.0742913, 0, -0.0557185
-0.476715, -0.475639, 0, -0.0557185, -0, -0.0742913, 0, -0.13001, -0, -0.0928641, -0, -0.0742913, 0, -0.0557185
-0.476685, -0.475651, 0, -0.0557185, -0, -0.0557185, 0, -0.148583, -0, -0.0928641, -0, -0.0742913, 0, -0.0557185
-0.476685, -0.475651, 0, -0.0557185, -0, -0.0557185, 0, -0.148583, -0, -0.0928641, -0, -0.0742913, 0, -0.0557185
-0.476715, -0.47575, 0, -0.0557185, -0, -0.0557185, 0, -0.13001, -0, -0.0928641, -0, -0.0742913, 0, -0.0557185
-0.476799, -0.475651, 0, -0.0742913, -0, -0.0557185, 0, -0.148583, -0, -0.0928641, -0, -0.0742913, 0, -0.0557185
-0.476689, -0.475734, 0, -0.0742913, -0, -0.0557185, 0, -0.148583, -0, -0.0928641, -0, -0.0742913, 0, -0.0557185
-0.476715, -0.475651, 0, -0.0557185, -0, -0.0557185, 0, -0.13001, -0, -0.0928641, -0, -0.0742913, 0, -0.0557185
-0.476715, -0.475734, 0, -0.0557185, -0, -0.0557185, 0, -0.13001, -0, -0.0928641, -0, -0.0742913, 0, -0.0557185
-0.476715, -0.475651, 0, -0.0557185, -0, -0.0557185, 0, -0.13001, -0, -0.0928641, -0, -0.0742913, 0, -0.0557185
-0.476715, -0.475651, 0, -0.0557185, -0, -0.0557185, 0, -0.13001, -0, -0.0928641, -0, -0.0742913, 0, -0.0557185
-0.476715, -0.475734, 0, -0.0557185, -0, -0.0557185, 0, -0.13001, -0, -0.0928641, -0, -0.0742913, 0, -0.0557185
-0.476826, -0.475734, 0, -0.0557185, -0, -0.0557185, 0, -0.13001, -0, -0.0928641, -0, -0.0742913, 0, -0.0557185
-0.476702, -0.475734, 0, -0.0557185, -0, -0.0557185, 0, -0.148583, -0, -0.0928641, -0, -0.0742913, 0, -0.0557185
-0.476715, -0.475651, 0, -0.0557185, -0, -0.0557185, 0, -0.13001, -0, -0.0928641, -0, -0.0742913, 0, -0.0557185
-0.476715, -0.475734, 0, -0.0557185, -0, -0.0557185, 0, -0.13001, -0, -0.0928641, -0, -0.0742913, 0, -0.0557185
-0.476715, -0.475734, 0, -0.0557185, -0, -0.0557185, 0, -0.13001, -0, -0.0928641, -0, -0.0742913, 0, -0.0557185
-0.476702, -0.475651, 0, -0.0557185, -0, -0.0557185, 0, -0.148583, -0, -0.0928641, -0, -0.0742913, 0, -0.0557185
-0.476689, -0.475651, 0, -0.0742913, -0, -0.0557185, 0, -0.148583, -0, -0.0928641, -0, -0.0742913, 0, -0.0557185
-0.476715, -0.475651, 0, -0.0557185, -0, -0.0557185, 0, -0.13001, -0, -0.0928641, -0, -0.0742913, 0, -0.0557185
-0.476702, -0.475651, 0, -0.0742913, -0, -0.0557185, 0, -0.13001, -0, -0.0928641, -0, -0.0742913, 0, -0.0557185
-0.476702, -0.475734, 0, -0.0742913, -0, -0.0557185, 0, -0.13001, -0, -0.0928641, -0, -0.0742913, 0, -0.0557185
-0.476799, -0.475734, 0, -0.0557185, -0, -0.0557185, 0, -0.13001, -0, -0.0928641, -0, -0.0742913, 0, -0.0557185
-0.476715, -0.475734, 0, -0.0557185, -0, -0.0557185, 0, -0.13001, -0, -0.0928641, -0, -0.0742913, 0, -0.0557185
-0.476702, -0.475734, 0, -0.0557185, -0, -0.0557185, 0, -0.148583, -0, -0.0928641, -0, -0.0742913, 0, -0.0557185
-0.476702, -0.475651, 0, -0.0557185, -0, -0.0557185, 0, -0.148583, -0, -0.0928641, -0, -0.0742913, 0, -0.0557185
-0.476702, -0.475734, 0, -0.0557185, -0, -0.0557185, 0, -0.148583, -0, -0.0928641, -0, -0.0742913, 0, -0.0557185
-0.476685, -0.475651, 0, -0.0557185, -0, -0.0557185, 0, -0.148583, -0, -0.0928641, -0, -0.0742913, 0, -0.0557185
-0.476715, -0.475734, 0, -0.0557185, -0, -0.0557185, 0, -0.13001, -0, -0.0928641, -0, -0.0742913, 0, -0.0557185
-0.476702, -0.475739, 0, -0.0742913, -0, -0.0742913, 0, -0.13001, -0, -0.0928641, -0, -0.0742913, 0, -0.0557185
-0.476698, -0.475651, 0, -0.0557185, -0, -0.0557185, 0, -0.13001, -0, -0.0928641, -0, -0.0742913, 0, -0.0557185
-0.476702, -0.475639, 0, -0.0742913, -0, -0.0742913, 0, -0.13001, -0, -0.0928641, -0, -0.0742913, 0, -0.0557185
-0.476689, -0.475734, 0, -0.0742913, -0, -0.0557185, 0, -0.148583, -0, -0.0928641, -0, -0.0742913, 0, -0.0557185
-0.476684, -0.475734, 0, -0.0742913, -0, -0.0557185, 0, -0.13001, -0, -0.0928641, -0, -0.0742913, 0, -0.0557185
-0.476702, -0.475651, 0, -0.0557185, -0, -0.0557185, 0, -0.148583, -0, -0.0928641, -0, -0.0742913, 0, -0.0557185
-0.47683, -0.475734, 0, -0.0742913, -0, -0.0557185, 0, -0.13001, -0, -0.0928641, -0, -0.0742913, 0, -0.0557185
-0.476671, -0.475734, 0, -0.0742913, -0, -0.0557185, 0, -0.148583, -0, -0.0928641, -0, -0.0742913, 0, -0.0557185
-0.476715, -0.475651, 0, -0.0557185, -0, -0.0557185, 0, -0.13001, -0, -0.0928641, -0, -0.0742913, 0, -0.0557185
-0.476702, -0.475734, 0, -0.0557185, -0, -0.0557185, 0, -0.148583, -0, -0.0928641, -0, -0.0742913, 0, -0.0557185
-0.476715, -0.475651, 0, -0.0557185, -0, -0.0557185, 0, -0.13001, -0, -0.0928641, -0, -0.0742913, 0, -0.0557185
-0.476715, -0.475734, 0, -0.0557185, -0, -0.0557185, 0, -0.13001, -0, -0.0928641, -0, -0.0742913, 0, -0.0557185
-0.476702, -0.475734, 0, -0.0742913, -0, -0.0557185, 0, -0.13001, -0, -0.0928641, -0, -0.0742913, 0, -0.0557185
-0.476715, -0.475651, 0, -0.0557185, -0, -0.0557185, 0, -0.13001, -0, -0.0928641, -0, -0.0742913, 0, -0.0557185
-0.476715, -0.475651, 0, -0.0557185, -0, -0.0557185, 0, -0.13001, -0, -0.0928641, -0, -0.0742913, 0, -0.0557185
-0.476715, -0.475734, 0, -0.0557185, -0, -0.0557185, 0, -0.13001, -0, -0.0928641, -0, -0.0742913, 0, -0.0557185
-0.476715, -0.475734, 0, -0.0557185, -0, -0.0557185, 0, -0.13001, -0, -0.0928641, -0, -0.0742913, 0, -0.0557185
-0.476715, -0.475734, 0, -0.0557185, -0, -0.0557185, 0, -0.13001, -0, -0.0928641, -0, -0.0742913, 0, -0.0557185
